1	BRACBANK	45.9	47.1	45.6	45.9	46.8	-0.9	982	110.2590	2,378,498
2	SQURPHARMA	200.3	205.8	199.9	200.3	203.5	-3.2	3,083	106.7990	529,115
3	BEACHHATCH	43.5	45.3	43.4	43.5	44.7	-1.2	3,224	83.1770	1,881,551
4	BPPL	15.8	16.5	15.6	15.8	16.2	-0.4	2,457	77.9440	4,863,432
5	IFIC	5.9	6.2	5.7	5.9	5.8	0.1	1,311	75.1410	12,715,294
6	SPCERAMICS	21.5	23.2	21.3	21.5	22.7	-1.2	2,067	64.5360	2,891,158
7	SALAMCRST	21.6	23.4	21.2	21.6	22.8	-1.2	2,090	63.8450	2,842,932
8	MIDLANDBNK	27.1	27.8	26.6	27.1	26.7	0.4	830	50.0830	1,844,369
9	NAHEEACP	21.7	22.7	21.1	21.7	20.7	1	1,861	48.0640	2,197,637
10	BATBC	260.3	268.5	259.8	260.3	267.6	-7.3	2,871	46.6410	178,147
11	FINEFOODS	216	216.4	213.7	216	215.7	0.3	1,120	44.7390	207,744
12	NRBBANK	10.2	10.8	10.1	10.2	10.4	-0.2	1,146	40.6030	3,909,903
13	EASTRNLUB	2	2,347.5	2,212.4	2,227.3	2	-19.7	1,514	37.3910	16,331
14	MIRAKHTER	25.6	26.3	24.9	25.6	25	0.6	1,233	36.2300	1,409,558
15	LOVELLO	79	79.8	77.8	79.2	78.3	0.7	814	35.0280	445,691
16	SONARGAON	38.6	42.4	38.3	38.6	42.5	-3.9	1,675	34.7880	868,453
17	INTRACO	21.4	22	21.3	21.4	21.8	-0.4	736	30.5070	1,415,310
18	BARKAPOWER	11.1	11.5	11	11.1	11.5	-0.4	847	29.8170	2,660,061
19	KBPPWBIL	117.9	121.4	117	117.9	119.1	-1.2	935	29.3890	247,512
20	UTTARABANK	20.3	20.4	20.2	20.3	20.2	0.1	473	27.3000	1,344,653
21	FUWANGFOOD	14.1	14.6	13.9	14.1	14.3	-0.2	844	25.3970	1,784,848
22	BSC	86.3	86.7	86	86.3	86.1	0.2	1,056	24.5930	284,973
23	BESTHLDNG	15.2	15.7	14.9	15.2	14.9	0.3	1,373	23.9010	1,561,725
24	ASIATICLAB	32.6	33.1	31.7	32.6	31.7	0.9	958	23.8630	733,544
25	CITYBANK	18.5	18.8	18.4	18.5	18.6	-0.1	548	23.4360	1,264,776
26	SEMLLECMF	10.6	11.4	10.3	10.6	11.4	-0.8	538	23.1710	2,209,314
27	SEAPEARL	46.8	47	46.4	46.8	46.9	-0.1	515	22.8550	487,993
28	ABB1STMF	4.3	4.6	4.3	4.3	4.5	-0.2	335	21.1390	4,773,624
29	AGNISYSL	25.1	25.3	24.5	25.1	24.5	0.6	667	20.9780	845,325
30	BXPHARMA	84.4	86.5	84.1	84.4	85.3	-0.9	731	20.8790	245,184
31	ORIONINFU	343.9	353.5	342.3	343.9	349.7	-5.8	975	20.6150	59,514
32	BANKASIA	15.2	16.3	15.1	15.2	17.9	-2.7	449	19.1200	1,257,820
33	FUWANGCER	12.9	13.5	12.9	12.9	13.3	-0.4	550	18.7840	1,431,939
34	GP	273.6	275	270	273.6	271.2	2.4	694	18.2080	66,709
35	BPML	32.6	35	32.2	32.6	34.4	-1.8	986	17.7380	525,429
36	SPCL	36.1	37.2	36	36.1	36.7	-0.6	768	17.6360	483,721
37	BDTHAIFOOD	13.9	14.9	13.8	13.9	13.8	0.1	818	17.5000	1,209,854
38	AIL	43.8	45.5	43.4	43.8	44.9	-1.1	1,053	17.4890	394,492
39	EBL	22.4	22.4	22.2	22.4	22.3	0.1	194	17.2800	774,723
40	KPPL	18	19.1	17.7	18	19	-1	1,010	17.0670	929,787
41	STANDARINS	35.6	40.7	35.4	35.6	38.1	-2.5	588	17.0440	452,476
42	RDFOOD	22.2	23	22.1	22.2	22.7	-0.5	673	16.9960	755,143
43	KTL	11.2	11.7	11	11.1	11.6	-0.4	580	16.5710	1,470,464
44	DOREENPWR	23.5	24.5	23.4	23.5	23.9	-0.4	600	16.5670	691,567
45	ROBI	23.1	23.6	23	23.1	23.5	-0.4	901	15.3020	658,712
46	GHAIL	11.7	12	11.5	11.7	11.4	0.3	706	15.2890	1,305,987
47	ABBANK	6.6	6.9	6.5	6.6	6.5	0.1	455	14.8280	2,208,882
48	BDTHAI	11.8	12.4	11.7	11.8	11.9	-0.1	705	14.4260	1,196,714
49	SIBL	8.9	9.2	8.4	8.9	8.4	0.5	442	14.1860	1,567,773
50	GOLDENSON	10.7	11.2	10.6	10.7	11	-0.3	640	13.9760	1,290,826
51	OIMEX	25.9	26.7	25.7	25.9	26.5	-0.6	347	13.8590	530,917
52	EXIMBANK	5.7	6	5	5.5	5.5	0.2	641	13.8040	2,403,470
53	HRTEX	25.2	26.4	25	25.2	26.6	-1.4	827	13.6980	532,436
54	SAMATALETH	54	56.8	53	54	54.8	-0.8	862	13.2210	239,147
55	MONNOFABR	13.2	13.8	13.1	13.2	13.6	-0.4	591	12.9910	968,196
56	SALVOCHEM	19.5	20.3	19.3	19.5	19.3	0.2	644	12.8260	646,371
57	GIB	3.4	3.4	3.1	3.4	3.1	0.3	557	12.7790	3,839,739
58	UCB	10	10.4	9.9	10	10.2	-0.2	411	12.5890	1,245,104
59	FBFIF	3.5	3.6	3.4	3.5	3.5	0	170	12.5320	3,580,571
60	MERCANBANK	9	9.2	8.9	9	9.1	-0.1	229	12.2000	1,351,518
61	RELIANCE1	18.3	18.6	18	18.3	18.4	-0.1	398	12.1930	664,700
62	BENGALWTL	18.3	19.3	18.2	18.3	18.8	-0.5	581	11.9830	642,370
63	MAGURAPLEX	75.3	77.2	74.6	74.9	76	-0.7	747	11.8280	156,507
64	AL-HAJTEX	120.1	124	120.1	122.1	122.8	-2.7	226	11.7880	96,054
65	FIRSTSBANK	4.1	4.1	3.5	4.1	3.8	0.3	334	11.4740	2,947,897
66	EPGL	15.9	16.3	15.9	15.9	16.3	-0.4	616	11.3340	706,152
67	SUNLIFEINS	62.2	63.2	61.3	62.2	61.9	0.3	226	11.1980	179,868
68	DOMINAGE	10.6	11	10.5	10.6	10.8	-0.2	364	10.7480	1,005,407
69	DSSL	9	9.3	8.9	9	9.2	-0.2	370	10.5730	1,166,138
70	ISLAMIBANK	34	34.9	32.7	34	33.5	0.5	516	10.5260	308,269
71	KDSALTD	40.5	41.8	40.3	40.5	41	-0.5	511	9.9890	243,379
72	ICB	45.8	45.8	42	45.8	41.7	4.1	396	9.8650	218,554
73	TECHNODRUG	26.8	27.4	26.7	26.8	26.8	0	431	9.8290	364,966
74	MALEKSPIN	22.5	22.9	22.4	22.5	22.6	-0.1	360	9.6400	426,153
75	LANKABAFIN	15	15.4	14.9	15	15	0	345	9.6100	634,329
76	1STPRIMFMF	18.7	19.3	18.6	18.7	19.2	-0.5	524	9.4710	501,596
77	MONNOCERA	74.6	77	74	74.6	74.6	0	358	9.2470	122,569
78	JAMUNABANK	16.2	16.5	16.2	16.2	16.4	-0.2	339	8.5180	521,233
79	LINDEBD	810.8	828.2	810	810.8	829.4	-18.6	837	8.4560	10,382
80	BBSCABLES	15.6	16	15.3	15.6	15.4	0.2	523	8.3760	537,886
81	SONALIPAPR	131.8	135.4	131.5	131.8	133.7	-1.9	474	8.2720	62,128
82	CRYSTALINS	39	40.6	38.9	39	40	-1	587	8.1880	206,537
83	GPHISPAT	17.4	17.5	17.2	17.4	17.2	0.2	377	7.8250	451,604
84	APEXFOOT	195.6	197.9	195	195.6	195.8	-0.2	247	7.7110	39,268
85	EXIM1STMF	3.9	3.9	3.8	3.8	3.8	0.1	56	7.6890	2,020,076
86	ONEBANKPLC	7	7.3	6.3	7	7	0	232	7.4380	1,055,186
87	RUPALIBANK	18	18.7	17.8	18	18.1	-0.1	359	7.4210	403,801
88	DESHBANDHU	16.8	17.3	16.7	16.8	17.1	-0.3	532	7.3390	434,586
89	LHB	43.7	44.1	43.6	43.7	43.8	-0.1	276	7.2530	165,810
90	ICBSONALI1	5.6	5.9	5.5	5.6	5.8	-0.2	303	7.2200	1,274,806
91	UNIONBANK	3.3	3.3	3	3.3	3	0.3	320	7.1140	2,178,503
92	MHSML	13.5	14.2	13.3	13.5	14.1	-0.6	359	7.0890	514,992
93	NBL	3.8	3.8	3.4	3.8	3.5	0.3	302	7.0770	1,901,489
94	EHL	70.2	70.9	69.5	70.2	69.7	0.5	351	6.9200	98,570
95	CAPITECGBF	7.1	7.3	7.1	7.1	7.1	0	205	6.5950	923,301
96	FAREASTFIN	4.5	5	4.4	4.5	4.7	-0.2	226	6.3530	1,368,020
97	PREMIERBAN	7.6	8	7.5	7.6	8	-0.4	285	6.2810	814,015
98	DHAKABANK	10.1	10.3	9.9	10.1	10	0.1	186	6.2690	617,074
99	CENTRALPHL	9.9	10.2	9.8	9.9	10.1	-0.2	311	6.1640	618,836
100	EGEN	18.8	19.8	18.8	18.8	19	-0.2	362	5.9890	311,727
101	HEIDELBCEM	206.2	208	200	206.2	198.4	7.8	509	5.7660	28,192
102	FEKDIL	14.6	14.9	14.5	14.6	14.7	-0.1	279	5.6760	388,219
103	QUEENSOUTH	11.2	11.7	11.1	11.2	11.3	-0.1	269	5.6550	499,970
104	ETL	8.8	9.1	8.7	8.8	8.9	-0.1	224	5.6200	633,451
105	MEGHNALIFE	44.9	46.2	44.6	44.9	45.7	-0.8	337	5.5900	123,466
106	GLOBALINS	28.1	28.9	27.7	28.1	28.2	-0.1	178	5.2730	187,989
107	BEACONPHAR	107.3	112.2	106.2	107.3	111.6	-4.3	315	5.1380	47,062
108	KARNAPHULI	24.2	24.6	24.2	24.2	24.5	-0.3	231	5.1130	209,892
109	ACMEPL	11.6	12	11.5	11.6	11.8	-0.2	256	5.1080	434,412
110	NAVANAPHAR	48.2	48.8	47.8	48.2	48.2	0	259	4.9880	103,261
111	LIBRAINFU	760.3	771.5	757.2	760.3	760.8	-0.5	564	4.9230	6,456
112	LEGACYFOOT	46.9	49.5	46.7	46.8	48.6	-1.7	413	4.7360	99,213
113	HAKKANIPUL	56.7	58	56.5	56.7	57	-0.3	337	4.7150	82,580
114	SIMTEX	14.9	15.3	14.9	14.9	15	-0.1	197	4.6780	312,243
115	ITC	34.4	35	34.2	34.4	34.7	-0.3	427	4.5780	132,780
116	ESQUIRENIT	21.1	21.7	21	21.1	21.5	-0.4	295	4.4750	210,804
117	SONALIANSH	144.1	147.4	143.8	144.1	145.8	-1.7	485	4.3820	30,207
118	NATLIFEINS	88.7	91.8	88.7	89.4	90.7	-2	203	4.3760	48,524
119	RUPALILIFE	70.8	72.8	70.2	70.8	71.4	-0.6	269	4.3620	61,154
120	FARCHEM	20	20.9	19.9	20	20.4	-0.4	257	4.2080	207,583
121	ILFSL	3.3	3.4	3	3.1	3.2	0.1	213	4.1180	1,319,821
122	SAPORTL	21	21.6	20.8	21	21.2	-0.2	248	4.1100	193,950
123	UNIQUEHRL	32.5	33.2	32.4	32.5	32.8	-0.3	290	4.0280	123,160
124	CENTRALINS	26	28.3	25.6	25.9	26.8	-0.8	212	3.9690	151,843
125	SBACBANK	7.3	7.6	7.2	7.3	7.3	0	237	3.9690	534,755
126	PARAMOUNT	34.2	35.2	33.8	34.2	34.6	-0.4	180	3.9500	114,300
127	GENEXIL	20.7	21.3	20.6	20.7	20.9	-0.2	220	3.8020	182,841
128	COPPERTECH	18	18.6	17.9	18	18.3	-0.3	246	3.7940	208,695
129	MONOSPOOL	76.6	80.7	76.1	77.4	79.6	-3	383	3.7770	48,067
130	CAPMBDBLMF	9.5	9.6	9.3	9.5	9.5	0	93	3.7310	394,734
131	BBS	10.3	10.7	10.2	10.3	10.5	-0.2	184	3.6450	351,155
132	WALTONHIL	393.8	403.8	392.2	392.9	401.2	-7.4	501	3.6230	9,099
133	FORTUNE	14.7	15.3	14.6	14.7	15	-0.3	355	3.5440	236,668
134	CITYGENINS	39.5	39.8	39.2	39.5	39.1	0.4	212	3.4520	87,560
135	DELTALIFE	62.7	63.8	62.6	62.7	63	-0.3	184	3.4390	54,476
136	IBP	9.2	9.5	9.1	9.2	9.4	-0.2	172	3.3970	366,881
137	ACI	162.2	163.9	161.4	162.2	162.3	-0.1	229	3.3810	20,850
138	GLDNJMF	7.7	7.9	7.7	7.7	7.7	0	167	3.2790	423,991
139	NRBCBANK	7.1	7.4	7	7.1	7	0.1	220	3.2790	459,427
140	JHRML	45.1	46.2	45	45.1	45.6	-0.5	229	3.1870	70,379
141	IFIC1STMF	3.7	3.8	3.7	3.7	3.7	0	86	3.1490	849,935
142	CLICL	47.1	48.3	46.5	47.1	46.9	0.2	161	2.9790	62,939
143	CONTININS	21.7	22.3	21.5	21.6	21.7	0	82	2.9480	135,412
144	ORIONPHARM	26.2	26.8	26.1	26.2	26.5	-0.3	255	2.9220	110,439
145	QUASEMIND	31.7	32.2	31.6	31.7	31.5	0.2	247	2.8430	89,410
146	BSCPLC	113.4	118.3	113	113.4	117.8	-4.4	226	2.8190	24,591
147	PADMAOIL	174.9	180	174.7	174.9	175.5	-0.6	219	2.7070	15,292
148	PHPMF1	3.4	3.5	3.3	3.4	3.5	-0.1	105	2.6970	789,669
149	MJLBD	88.8	89.2	88.5	88.8	89	-0.2	180	2.6960	30,402
150	EIL	48.6	50.9	45.5	48.6	49.5	-0.9	240	2.6850	55,276
151	ADNTEL	62	64.9	61.2	62	61.7	0.3	250	2.6770	42,733
